formula,weight_scheme,modulus,signature
"PHP(3,2)",Exponential,7,3
"PHP(3,2)",Exponential,11,1
"PHP(3,2)",Exponential,13,3
"PHP(3,2)",Exponential,17,1
"PHP(3,2)",Exponential,19,7
"PHP(3,2)",Polynomial,7,4
"PHP(3,2)",Polynomial,11,8
"PHP(3,2)",Polynomial,13,2
"PHP(3,2)",Polynomial,17,14
"PHP(3,2)",Polynomial,19,12
"PHP(3,2)",Hash-based,7,6
"PHP(3,2)",Hash-based,11,2
"PHP(3,2)",Hash-based,13,0
"PHP(3,2)",Hash-based,17,8
"PHP(3,2)",Hash-based,19,6
"PHP(4,3)",Exponential,7,3
"PHP(4,3)",Exponential,11,1
"PHP(4,3)",Exponential,13,0
"PHP(4,3)",Exponential,17,12
"PHP(4,3)",Exponential,19,12
"PHP(4,3)",Polynomial,7,2
"PHP(4,3)",Polynomial,11,1
"PHP(4,3)",Polynomial,13,4
"PHP(4,3)",Polynomial,17,12
"PHP(4,3)",Polynomial,19,18
"PHP(4,3)",Hash-based,7,4
"PHP(4,3)",Hash-based,11,2
"PHP(4,3)",Hash-based,13,12
"PHP(4,3)",Hash-based,17,15
"PHP(4,3)",Hash-based,19,3
"PHP(5,4)",Exponential,7,6
"PHP(5,4)",Exponential,11,4
"PHP(5,4)",Exponential,13,10
"PHP(5,4)",Exponential,17,10
"PHP(5,4)",Exponential,19,12
"PHP(5,4)",Polynomial,7,5
"PHP(5,4)",Polynomial,11,2
"PHP(5,4)",Polynomial,13,6
"PHP(5,4)",Polynomial,17,10
"PHP(5,4)",Polynomial,19,0
"PHP(5,4)",Hash-based,7,2
"PHP(5,4)",Hash-based,11,10
"PHP(5,4)",Hash-based,13,4
"PHP(5,4)",Hash-based,17,7
"PHP(5,4)",Hash-based,19,5
"PHP(6,5)",Exponential,7,3
"PHP(6,5)",Exponential,11,9
"PHP(6,5)",Exponential,13,2
"PHP(6,5)",Exponential,17,10
"PHP(6,5)",Exponential,19,11
"PHP(6,5)",Polynomial,7,3
"PHP(6,5)",Polynomial,11,7
"PHP(6,5)",Polynomial,13,2
"PHP(6,5)",Polynomial,17,0
"PHP(6,5)",Polynomial,19,6
"PHP(6,5)",Hash-based,7,3
"PHP(6,5)",Hash-based,11,2
"PHP(6,5)",Hash-based,13,2
"PHP(6,5)",Hash-based,17,12
"PHP(6,5)",Hash-based,19,16
3-SAT(20),Exponential,7,4
3-SAT(20),Exponential,11,10
3-SAT(20),Exponential,13,3
3-SAT(20),Exponential,17,0
3-SAT(20),Exponential,19,9
3-SAT(20),Polynomial,7,4
3-SAT(20),Polynomial,11,8
3-SAT(20),Polynomial,13,2
3-SAT(20),Polynomial,17,0
3-SAT(20),Polynomial,19,8
3-SAT(20),Hash-based,7,4
3-SAT(20),Hash-based,11,2
3-SAT(20),Hash-based,13,11
3-SAT(20),Hash-based,17,3
3-SAT(20),Hash-based,19,10
Tseitin,Exponential,7,3
Tseitin,Exponential,11,1
Tseitin,Exponential,13,7
Tseitin,Exponential,17,7
Tseitin,Exponential,19,8
Tseitin,Polynomial,7,2
Tseitin,Polynomial,11,8
Tseitin,Polynomial,13,3
Tseitin,Polynomial,17,1
Tseitin,Polynomial,19,0
Tseitin,Hash-based,7,1
Tseitin,Hash-based,11,9
Tseitin,Hash-based,13,0
Tseitin,Hash-based,17,3
Tseitin,Hash-based,19,5
XOR-SAT,Exponential,7,5
XOR-SAT,Exponential,11,7
XOR-SAT,Exponential,13,4
XOR-SAT,Exponential,17,11
XOR-SAT,Exponential,19,12
XOR-SAT,Polynomial,7,0
XOR-SAT,Polynomial,11,6
XOR-SAT,Polynomial,13,8
XOR-SAT,Polynomial,17,6
XOR-SAT,Polynomial,19,16
XOR-SAT,Hash-based,7,5
XOR-SAT,Hash-based,11,6
XOR-SAT,Hash-based,13,7
XOR-SAT,Hash-based,17,1
XOR-SAT,Hash-based,19,11
